,Web backups and migration,,,,,,
,Managed hosting services,,,,,,
,Backup and recovery,,,,,,
,#######################,,,,,,
,"Instalacija WP + WooCommerce, optimizacija sadržaja",,,,,,
,"Postavljanje dostave i naèina plaæanja, tehnièki SEO",,,,,,
,Izrada dizajna i postavljanje varijabilnih proizvoda,,,,,,
,Upute za dodavanje proizvoda i upravljane wordpressom ,,,,,,
,Integracija Swift plaæanja,,,,,,
,Povezivanje s Google-om i društvenim mrežama,,,,,,
,Seo Optimizacija,,,,,,
,Optimizacija slika i ostalog sadržaja,,,,,,
,Responzovnost web stranice za mobilne i tablet ureðaje,,,,,,
,Postavljanje stranica košarice i blagajne,,,,,,
,Licencirani elementor pro dodatak,,,,,,
,Postavljanje cache plugina za brzinu web stranice,,,,,,
,Podrška i izmjene 30 dana nakon objave trgovine,,,,,,
,"Zakup hostinga + SSL certifikat, instalacija i postavke Wordpressa",,,,,,
,"Dizajn web stranice (Naslovna, O nama, Usluge, Kontakt, Politike)",,,,,,
,Responsive dizajn (prilagodba za mobitele i tablete),,,,,,
,"Kontakt forma (ime, e-mail, poruka) s antispam zaštitom",,,,,,
,Integracija Google Analytics i Google Search Console,,,,,,
,"Osnovna SEO optimizacija (naslovi, opisi, kljuène rijeèi, sitemap, ALT tagovi)",,,,,,
,Email client installation and configuration,,,,,,
,Cloudflare WARP update and reconfiguration,,,,,,
,Euronet DNS and Email configuration,,,,,,
,Email client configuration and acccounts setup,,,,,,
,System wifi and network cleanup and configuration,,,,,,
,"Applications(remote, email clients) update and configuration",,,,,,
,"Host Server Setup & Security - Installation of Windows Server 2022, IIS, MSSQL, FTP/SFTP, SSL, firewall hardening, RDP configuration.",,,,,,
,,,,,,,
,"Virtualization & Networking - Oracle VirtualBox setup with 2 VMs, public IPv4, networking, DNS, and port forwarding.",,,,,,
,,,,,,,
,"VM1 – Windows Server 2022 - Configuration of IIS, SQL Express, SSL, firewall, remote access, and Ikaros integration.",,,,,,
,,,,,,,
,"VM2 – Ubuntu 24.04 - LAMP stack, Grafana, Prometheus, Loki/Promtail (Docker), Certbot SSL, secured SSH.",,,,,,
,,,,,,,
,"Documentation, Security & Complimentary Maintenance - Full technical documentation, security audit, and 3-month free maintenance.",,,,,,
,Uklanjanje prikaza cijena paketa u kunama na svim lokacijama,,,,,,
,Deaktivacija zastarjelih paketa za neèlanove i èlanove,,,,,,
,Ažuriranje pretrage i prikaza zadnje èlanarine,,,,,,
,Implementirane povratne poruke i SweetAlert obavijesti prilikom ažuriranja podataka,,,,,,
,Uveden detaljan prikaz dolazaka èlanova te optimiziran serverski prikaz podataka,,,,,,
,Maintenance of application (20 hours),,,,,,
,Additional development(2/6),,,,,,
,"Usluga izvlaèenja izvještaja iz web aplikacije, spremanje podataka te slanje izvještaja",,,,,,
,Izrada prilagoðenog WordPress plugina prema definiranim funkcionalnim zahtjevima,,,,,,
,"Razvoj custom WordPress funkcionalnosti (hooks, shortcodes, admin suèelje)",,,,,,
,Integracija i prilagodba postojeæih WordPress komponenti i biblioteka,,,,,,
,Testiranje funkcionalnosti i prilagodba kompatibilnosti s aktivnom WordPress temom,,,,,,
,"Usluga instalacije, konfiguracije i fiskalne integracije aplikacije.",,,,,,
,"Instalacija aplikacije, SSL i FINA certifikata te kompletno podešavanje fiskalizacije i MIKROeRAÈUN sustava na e-Poreznoj.",,,,,,
,,,,,,,
"Šifranik za stupac 11
JEDINICE MJERE (JM)",kg,,,,,,
,kom,,,,,,
,l,,,,,,
,sat,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
NAPOMENA,,,,,,,
usluge za domaæe klijente/pružatelj hrvatski porezni rezident,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,,,,,
usluge za domaæe klijente/pružatelj EU porezni rezident,Osloboðeno PDV-a temeljem èlanka 90. st. 2  Zakona o PDV-u,,,,,,
usluge za inozemne klijente ,Osloboðeno PDV-a temeljem èlanka 17. st. 1 Zakona o PDV-u - reverse charge ,,,,,,
roba za domaæe klijente/prodavatelj hrvatski porezni rezident,Osloboðeno PDV-a temeljem èlanka 90. st. 1 Zakona o PDV-u,,,,,,
roba za domaæe klijente/prodavatelj EU porezni rezident,Osloboðeno PDV-a temeljem èlanka 90. st. 2 Zakona o PDV-u,,,,,,
,,,,,,,
PREDUJAM,Datum primitka predujma dana 03.01.2021.,,,,,,
PREDUJAM_STORNO,Ovaj raèun umanjen je za raèun za predujam broj 1-1-1 od 03.01.2022.,,,,,,
,1/1/2021,,,,,,
1-3,4/1/2021,,,,,,
4-6,7/1/2021,,,,,,
7-9,10/1/2021,,,,,,
10-12,1/1/2022,,,,,,
,,,,,,,
,12/31/2021,,,,,,
